id,earliest_cr_line,open_acc,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
54734,1994-02-01,10,28854,52.10%,42,29331,21818,25000,4331,2011-10-01,7393,2012-08-01
55742,2000-10-01,7,33623,76.70%,7,8216,685,7000,1216,2011-06-01,229,2012-08-01
57245,1985-01-01,5,2584,40.40%,31,1458,1458,1200,258,2013-03-01,43,2016-05-01
57416,1996-12-01,14,3511,25.60%,40,13208,13074,10800,2408,2012-11-01,398,2016-05-01
58915,2000-11-01,3,33667,73.20%,11,5844,572,5024.99,819,2011-04-01,163,2014-03-01
59006,1998-07-01,13,4740,39.50%,23,3705,3689,3000,705,2012-10-01,112,2012-09-01
61390,1993-05-01,11,50807,51%,19,4452,4341,4000,452,2012-03-01,1455,2012-03-01
61419,2001-06-01,5,3839,76.80%,9,6475,6388,5220.69,1212,2012-10-01,195,2013-03-01
62102,2006-06-01,7,3198,51.10%,11,3414,3414,3200,214,2011-02-01,2593,2013-03-01
65426,1995-08-01,14,24220,68.60%,33,2756,2616,2170.35,585,2011-06-01,132,2016-05-01
65640,1997-05-01,20,69909,51.10%,51,3154,513,2649.99,489,2011-05-01,88,2015-04-01
66431,2001-09-01,5,5630,23%,8,3029,2849,2525,504,2012-03-01,90,2012-03-01
66749,1990-07-01,5,13846,71%,16,12976,6108,10625,2351,2012-01-01,371,2011-12-01
66943,2000-12-01,7,2183,19.50%,23,3144,3032,2800,344,2011-10-01,2349,2014-07-01
66964,1996-08-01,11,5122,18.20%,37,9129,1013,7500,1629,2011-06-01,254,2011-06-01
67503,1991-12-01,7,6068,16.70%,49,11281,11281,10000,1281,2012-02-01,3065,2014-02-01
68163,1998-02-01,14,3021,4.80%,25,3342,3342,3000,342,2013-02-01,98,2013-02-01
68381,2003-12-01,3,6282,44.60%,9,7542,7372,6625,917,2011-03-01,425,2015-03-01
68817,1985-11-01,7,5394,53.40%,23,11710,2899,10000,1710,2010-09-01,24,2010-09-01
68926,1997-12-01,4,2211,88.40%,13,2797,644,2300,497,2011-09-01,78,2016-05-01
69001,1991-11-01,6,7586,52.70%,19,17136,16993,15000,2136,2012-07-01,1920,2015-08-01
69124,2000-08-01,2,8311,59.80%,9,21028,13396,18000,3028,2011-04-01,599,2016-05-01
69168,2005-02-01,2,591,84.40%,6,6252,6220,5000,1252,2011-04-01,185,2016-05-01
69251,1994-12-01,16,29797,23.20%,39,6784,566,5999.99,769,2011-05-01,190,2011-05-01
69550,2005-10-01,7,7248,69.20%,11,15924,15900,11200,4724,2014-08-01,2817,2016-05-01
69828,1975-06-01,4,5656,27.60%,25,17209,15034,15000,2114,2011-08-01,39,2011-08-01
69924,2002-11-01,11,21162,57.70%,14,12226,10739,10000,2226,2011-04-01,360,2016-02-01
69990,1994-09-01,8,16931,34.60%,21,17439,16201,15500,1939,2013-02-01,473,2013-02-01
70348,1997-11-01,5,4822,58.10%,27,11341,10948,9600,1741,2010-05-01,3774,2016-05-01
76597,2003-04-01,5,14354,36.60%,7,5726,2033,5000,726,2010-07-01,161,2010-07-01
84918,1994-12-01,12,1576,5.70%,21,5201,2107,5000,201,2008-04-01,4269,2007-06-01
87023,2003-10-01,7,4175,51.50%,8,9196,981,7500,1696,2010-06-01,257,2010-06-01
88854,1995-03-01,2,3164,13.70%,2,5175,233,5000,175,2008-03-01,0,2007-05-01
90376,1988-11-01,17,85607,0.70%,26,5175,673,5000,175,2008-01-01,0,2007-06-01
90395,1998-10-01,11,9698,19.40%,20,5273,1398,5000,273,2008-04-01,0,2007-06-01
90665,1986-12-01,6,8847,26.90%,9,9914,1021,8500,1414,2010-07-01,282,2010-07-01
90966,1987-12-01,2,6053,19.50%,19,5175,4295,5000,175,2008-01-01,4398,2007-06-01
92187,1990-11-01,13,7274,13.10%,40,2823,1214,2500,323,2010-07-01,81,2010-06-01
92402,1994-05-01,10,66033,23%,29,5699,798,5000,699,2010-07-01,160,2014-11-01
92440,2000-07-01,8,3660,6.80%,16,5594,3469,5000,594,2010-07-01,158,2007-06-01
